BrandName,NumberOfPhone,BrandUrl
Acer,100,https://www.gsmarena.com/acer-phones-59.php
alcatel,409,https://www.gsmarena.com/alcatel-phones-5.php
Allview,157,https://www.gsmarena.com/allview-phones-88.php
Amazon,25,https://www.gsmarena.com/amazon-phones-76.php
Amoi,47,https://www.gsmarena.com/amoi-phones-28.php
Apple,118,https://www.gsmarena.com/apple-phones-48.php
Archos,43,https://www.gsmarena.com/archos-phones-90.php
Asus,200,https://www.gsmarena.com/asus-phones-46.php
AT&amp;T,4,https://www.gsmarena.com/at&t-phones-57.php
Benefon,9,https://www.gsmarena.com/benefon-phones-15.php
BenQ,35,https://www.gsmarena.com/benq-phones-31.php
BenQ-Siemens,28,https://www.gsmarena.com/benq_siemens-phones-42.php
Bird,61,https://www.gsmarena.com/bird-phones-34.php
BlackBerry,92,https://www.gsmarena.com/blackberry-phones-36.php
Blackview,84,https://www.gsmarena.com/blackview-phones-116.php
BLU,369,https://www.gsmarena.com/blu-phones-67.php
Bosch,10,https://www.gsmarena.com/bosch-phones-10.php
BQ,20,https://www.gsmarena.com/bq-phones-108.php
Casio,5,https://www.gsmarena.com/casio-phones-77.php
Cat,22,https://www.gsmarena.com/cat-phones-89.php
Celkon,229,https://www.gsmarena.com/celkon-phones-75.php
Chea,12,https://www.gsmarena.com/chea-phones-24.php
Coolpad,44,https://www.gsmarena.com/coolpad-phones-105.php
Cubot,57,https://www.gsmarena.com/cubot-phones-130.php
Dell,20,https://www.gsmarena.com/dell-phones-61.php
Doogee,66,https://www.gsmarena.com/doogee-phones-129.php
Emporia,15,https://www.gsmarena.com/emporia-phones-93.php
Energizer,62,https://www.gsmarena.com/energizer-phones-106.php
Ericsson,40,https://www.gsmarena.com/ericsson-phones-2.php
Eten,22,https://www.gsmarena.com/eten-phones-40.php
Fairphone,4,https://www.gsmarena.com/fairphone-phones-127.php
Fujitsu Siemens,2,https://www.gsmarena.com/fujitsu_siemens-phones-50.php
Garmin-Asus,5,https://www.gsmarena.com/garmin_asus-phones-65.php
Gigabyte,63,https://www.gsmarena.com/gigabyte-phones-47.php
Gionee,95,https://www.gsmarena.com/gionee-phones-92.php
Google,27,https://www.gsmarena.com/google-phones-107.php
Haier,59,https://www.gsmarena.com/haier-phones-33.php
Honor,193,https://www.gsmarena.com/honor-phones-121.php
HP,41,https://www.gsmarena.com/hp-phones-41.php
HTC,287,https://www.gsmarena.com/htc-phones-45.php
Huawei,436,https://www.gsmarena.com/huawei-phones-58.php
i-mate,34,https://www.gsmarena.com/i_mate-phones-35.php
i-mobile,37,https://www.gsmarena.com/i_mobile-phones-52.php
