Brand,url,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,https://www.gsmarena.com/acer_chromebook_tab_10-9139.php,No cellular connectivity, N/A,,,,No,No,,"2018, March",544.0,238.3,172.2,544.0,9.9,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_talk_s-8306.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, August. Released 2016, October",260.0,191.7,101.0,260.0,9.4,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_z6_plus-8305.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August. Released 2016, December",169.0,153.8,75.6,169.0,8.5,"Fingerprint (front-mounted), accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_z6-8304.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2016, August. Released 2016, December",126.0,145.5,72.5,126.0,8.5,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_iconia_tab_10_a3_a40-8080.php,No cellular connectivity, N/A,,,,No,No,,"2016, April. Released 2016, June",,259.0,167.0,,8.9,Accelerometer
Acer,https://www.gsmarena.com/acer_liquid_x2-8034.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, April. Released 2016, February",166.0,153.3,78.8,166.0,8.5,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_zest_plus-8059.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2016, April. Released 2016, July",,154.0,77.0,,10.0,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_zest-7955.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE Cat4 150/50 Mbps","2016, February. Released 2016, April",125.0,145.7,71.2,125.0,8.4,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_predator_8-7750.php,No cellular connectivity, N/A,,,,No,No,,"2015, September. Released 2015, November",353.0,217.9,127.0,353.0,8.6,Yes
Acer,https://www.gsmarena.com/acer_liquid_jade_primo-7650.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2015, September. Released 2016, April",150.0,156.5,75.9,150.0,8.4,"Accelerometer, gyro, proximity, compass"
