Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro
Acer,No cellular connectivity, N/A,,,,No,No,,"2018, March",544.0,238.3,172.2,9.9,Accelerometer,335.75
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, August. Released 2016, October",260.0,191.7,101.0,9.4,"Accelerometer, proximity",170.23
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August. Released 2016, December",169.0,153.8,75.6,8.5,"Fingerprint (front-mounted), accelerometer, proximity",252.48
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2016, August. Released 2016, December",126.0,145.5,72.5,8.5,"Accelerometer, proximity",122.01
Acer,No cellular connectivity, N/A,,,,No,No,,"2016, April. Released 2016, June",,259.0,167.0,8.9,Accelerometer,236.63
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, April. Released 2016, February",166.0,153.3,78.8,8.5,"Accelerometer, proximity, compass",236.09
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2016, April. Released 2016, July",,154.0,77.0,10.0,"Accelerometer, proximity, compass",208.03
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE Cat4 150/50 Mbps","2016, February. Released 2016, April",125.0,145.7,71.2,8.4,"Accelerometer, proximity, compass",110.78
Acer,No cellular connectivity, N/A,,,,No,No,,"2015, September. Released 2015, November",353.0,217.9,127.0,8.6,Yes,353.8
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2015, September. Released 2016, April",150.0,156.5,75.9,8.4,"Accelerometer, gyro, proximity, compass",220.27
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2015, September. Released 2015, October",142.0,136.0,66.5,9.6,"Accelerometer, proximity",111.97
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,"2015, September. Released 2015, November",142.0,136.0,66.5,9.6,"Accelerometer, proximity",94.55
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2015, September. Released 2015, September",165.0,156.3,77.5,8.9,"Accelerometer, proximity, compass",200.24
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2015, September. Released 2015, October",145.0,144.0,70.3,8.9,"Accelerometer, proximity",151.79
Acer,No cellular connectivity, N/A,,,,No,No,,"2015, April. Released 2015, June",540.0,260.0,176.0,9.7,Accelerometer,255.85
Acer,No cellular connectivity, N/A,,,,No,No,,"2015, April. Released 2015, May",355.0,213.9,127.7,9.5,Accelerometer,184.9
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, October. Released 2014, October",508.0,256.5,170.2,10.2,Accelerometer,191.98
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, October. Released 2014, October",508.0,256.5,170.2,10.2,Accelerometer,235.3
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, April",110.0,143.5,69.8,8.0,"Accelerometer, gyro, proximity, compass",207.28
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, March. Released 2015, April",118.0,154.0,86.0,6.4,"Accelerometer, proximity",130.06
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, March. Released 2015, April",120.0,125.3,64.0,9.6,Accelerometer,97.25
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, May",119.0,124.9,64.0,9.6,"Accelerometer, proximity",86.28
