Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 , LTE (unspecified),,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February",150.0,156.6,75.9,150.0,8.4,"Accelerometer, gyro, proximity, compass"
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE","2015, September. Released 2015, September",165.0,156.3,77.5,165.0,8.9,"Accelerometer, proximity, compass"
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2015, September. Released 2015, November",145.0,144.0,70.3,145.0,8.9,"Accelerometer, proximity"
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE","2015, September. Released 2015, November",142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity"
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,"2015, September. Released 2015, November",142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2019, February",440.0,260.0,156.6,440.0,9.0,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February",145.0,151.1,69.7,145.0,8.0,"Fingerprint (rear-mounted, market dependent), accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February",145.0,151.1,69.7,145.0,8.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February",146.0,147.8,70.7,146.0,8.6,"Fingerprint (rear-mounted), accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, August",129.0,141.8,71.4,129.0,9.0,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 39, 40, 41",,,,"HSPA, LTE","2017, April",155.0,152.6,75.4,155.0,8.7,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA 21.1/5.76 Mbps,"2016, September. Released 2016, October",202.0,152.0,78.3,202.0,9.9,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 4, 12",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, January. Released 2016, February",174.0,151.9,77.8,174.0,9.5,"Accelerometer, proximity, compass"
alcatel,GSM,GSM 900 / 1800 ,,,,Yes,No,,"2016, January. Released 2016, Q3",,40.0,40.0,,15.8,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2016, January. Released 2016, Q3",,116.0,62.0,,10.0,Accelerometer
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA, LTE","2016, February",,209.0,124.9,,8.3,Accelerometer
alcatel,No cellular connectivity, N/A,,,,No,No,,"2015, September. Released 2015, September",,50.5,50.5,,13.0,"Accelerometer, altimeter, gyro, heart rate, compass"
alcatel,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),,,,Yes,No,,2015. Released 2015,72.0,119.0,50.0,72.0,9.8,
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, September. Released 2015, Q4",,152.7,75.1,,7.9,"Accelerometer, proximity, compass"
alcatel,No cellular connectivity, N/A,,,,No,No,,"2015, September. Released 2015, Q4",,255.5,155.0,,9.5,Accelerometer
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, September. Released 2015, Q4",,122.1,64.4,,9.7,Yes
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, Q4",,143.0,71.9,,8.2,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, Q4",,142.5,71.5,,8.6,"Accelerometer, proximity"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, September. Released 2015, Q4",,141.0,71.5,,8.6,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 4, 5, 7, 17",,,,"HSPA, LTE","2015, September. Released 2015, December",,143.3,73.3,,9.2,Yes
alcatel,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2014, September. Released 2014, September",,152.1,76.2,,8.1,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional), HSDPA,,,Yes,Yes,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, May",,112.2,62.0,,11.9,Accelerometer
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, October",,,,,,Accelerometer
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",100.0,112.2,62.0,100.0,11.9,Accelerometer
