Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro
Acer,No cellular connectivity, N/A,,,,No,No,,2018,544.0,238.3,172.2,544.0,9.9,Accelerometer,335.75
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2016,260.0,191.7,101.0,260.0,9.4,"Accelerometer, proximity",170.23
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2016,169.0,153.8,75.6,169.0,8.5,"Fingerprint (front-mounted), accelerometer, proximity",252.48
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2016,126.0,145.5,72.5,126.0,8.5,"Accelerometer, proximity",122.01
Acer,No cellular connectivity, N/A,,,,No,No,,2016,,259.0,167.0,,8.9,Accelerometer,236.63
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2015,166.0,153.3,78.8,166.0,8.5,"Accelerometer, proximity, compass",236.09
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 , LTE (unspecified),,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2016,150.0,156.6,75.9,150.0,8.4,"Accelerometer, gyro, proximity, compass",
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2016,,154.0,77.0,,10.0,"Accelerometer, proximity, compass",208.03
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE Cat4 150/50 Mbps",2016,125.0,145.7,71.2,125.0,8.4,"Accelerometer, proximity, compass",110.78
Acer,No cellular connectivity, N/A,,,,No,No,,2015,353.0,217.9,127.0,353.0,8.6,Yes,353.8
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2015,150.0,156.5,75.9,150.0,8.4,"Accelerometer, gyro, proximity, compass",220.27
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity",111.97
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,2015,142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity",94.55
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE",2015,165.0,156.3,77.5,165.0,8.9,"Accelerometer, proximity, compass",
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,165.0,156.3,77.5,165.0,8.9,"Accelerometer, proximity, compass",200.24
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,145.0,144.0,70.3,145.0,8.9,"Accelerometer, proximity",
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,145.0,144.0,70.3,145.0,8.9,"Accelerometer, proximity",151.79
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity",
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,2015,142.0,136.0,66.5,142.0,9.6,"Accelerometer, proximity",
Acer,No cellular connectivity, N/A,,,,No,No,,2015,540.0,260.0,176.0,540.0,9.7,Accelerometer,255.85
Acer,No cellular connectivity, N/A,,,,No,No,,2015,355.0,213.9,127.7,355.0,9.5,Accelerometer,184.9
Acer,No cellular connectivity, N/A,,,,No,No,,2014,508.0,256.5,170.2,508.0,10.2,Accelerometer,191.98
Acer,No cellular connectivity, N/A,,,,No,No,,2014,508.0,256.5,170.2,508.0,10.2,Accelerometer,235.3
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2015,110.0,143.5,69.8,110.0,8.0,"Accelerometer, gyro, proximity, compass",207.28
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2015,118.0,154.0,86.0,118.0,6.4,"Accelerometer, proximity",130.06
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2015,120.0,125.3,64.0,120.0,9.6,Accelerometer,97.25
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2015,119.0,124.9,64.0,119.0,9.6,"Accelerometer, proximity",86.28
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE Cat4 150/50 Mbps",2015,145.0,136.0,66.7,145.0,9.9,"Accelerometer, proximity",133.06
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"3, 8, 28 - Taiwan",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2014,116.0,143.0,69.0,116.0,7.8,"Accelerometer, proximity, compass",201.4
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2014,150.0,145.0,73.0,150.0,8.8,"Accelerometer, proximity",158.61
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7",,,,"HSPA, LTE",2014,164.0,153.3,80.4,164.0,8.5,"Accelerometer, proximity, compass",263.03
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2014,110.0,140.5,69.0,110.0,7.5,"Accelerometer, proximity, compass",180.83
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,2014,155.0,147.3,73.0,155.0,9.9,"Accelerometer, proximity",200.87
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2014,155.0,147.0,72.0,155.0,9.5,"Accelerometer, proximity",207.63
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2014,130.0,126.0,65.0,130.0,10.3,Accelerometer,95.43
Acer,No cellular connectivity, N/A,,,,No,No,,2014,360.0,215.0,130.0,360.0,8.5,Accelerometer,207.26
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,2014,298.0,,,298.0,8.9,Accelerometer,116.57
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,2014,298.0,,,298.0,8.9,Accelerometer,154.83
Acer,No cellular connectivity, N/A,,,,No,No,,2014,,,,,8.9,Accelerometer,98.76
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,2014,,138.0,69.0,,8.9,"Accelerometer, proximity",243.41
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,2014,134.0,136.0,68.0,134.0,9.0,"Accelerometer, proximity",204.97
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,2014,122.0,124.0,64.0,122.0,9.7,"Accelerometer, proximity",107.46
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,2014,323.0,199.0,122.3,323.0,11.4,Accelerometer,135.57
Acer,No cellular connectivity, N/A,,,,No,No,,2014,315.0,198.1,121.9,315.0,10.2,Accelerometer,107.76
Acer,No cellular connectivity, N/A,,,,No,No,,2014,380.0,203.0,138.4,380.0,8.2,Accelerometer,135.2
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2014,150.0,145.5,73.5,150.0,8.8,"Accelerometer, proximity",176.34
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7, 20",,,,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",2013,229.0,166.0,86.2,229.0,9.0,"Accelerometer, gyro, proximity, compass",340.41
Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,120.0,109.0,60.0,120.0,10.4,"Accelerometer, proximity",102.05
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,2013,195.0,163.0,83.0,195.0,9.6,"Accelerometer, gyro, proximity, compass",322.6
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,560.0,260.0,175.0,560.0,10.2,"Accelerometer, gyro",190.72
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,2013,430.0,208.7,145.7,430.0,11.1,"Accelerometer, gyro",152.1
Acer,No cellular connectivity, N/A,,,,No,No,,2013,410.0,208.7,145.7,410.0,11.1,"Accelerometer, gyro",120.91
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2013,140.0,131.0,68.0,140.0,9.9,"Accelerometer, gyro, proximity, compass",182.5
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2013,110.0,110.0,62.5,110.0,12.3,"Accelerometer, proximity",105.72
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2013,140.0,127.3,65.5,140.0,10.0,"Accelerometer, proximity",183.28
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,2013,130.0,132.0,68.5,130.0,9.9,"Accelerometer, gyro, proximity, compass",173.33
Acer,No cellular connectivity, N/A,,,,No,No,,2013,339.0,198.1,129.5,339.0,12.7,Accelerometer,111.89
Acer,No cellular connectivity, N/A,,,,No,No,,2013,320.0,197.4,128.5,320.0,11.3,Accelerometer,102.4
Acer,No cellular connectivity, N/A,,,,No,No,,2012,390.0,193.0,126.5,390.0,11.4,"Accelerometer, gyro, compass",158.43
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 - SIM 1 only,,,,,HSPA 7.2/0.384 Mbps,2012,100.0,110.0,61.5,100.0,12.3,"Accelerometer, proximity",105.83
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2012,145.0,129.0,65.9,145.0,9.9,"Accelerometer, proximity",165.48
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,2012,145.0,129.0,65.9,145.0,9.9,"Accelerometer, proximity",141.54
Acer,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2012,125.0,117.0,58.5,125.0,11.5,"Accelerometer, proximity, compass",126.56
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA,2012,122.0,127.0,65.8,122.0,9.9,"Accelerometer, proximity, compass",221.47
Acer,No cellular connectivity, N/A,,,,No,No,,2012,685.0,259.1,175.3,685.0,12.2,"Accelerometer, gyro",263.42
Acer,No cellular connectivity, N/A,,,,No,No,,2012,700.0,260.0,175.0,700.0,12.4,"Accelerometer, gyro",208.91
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,2012,667.0,259.8,175.0,667.0,10.9,"Accelerometer, gyro, compass",385.76
Acer,No cellular connectivity, N/A,,,,No,No,,2012,665.0,259.0,175.0,665.0,11.0,"Accelerometer, gyro, compass",235.01
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2012,777.0,260.0,175.0,777.0,11.0,"Accelerometer, gyro, proximity, compass",256.16
